,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_in9,BILL_AMT9,PAY_AMT9,default
61,290000,2,1,2,37,1,0,0,0
62,340000,1,1,2,32,-1,3048,5713,0
63,20000,1,2,2,24,0,14619,2850,0
64,50000,1,3,2,25,-1,42838,1759,0
65,300000,2,1,1,45,-1,291,291,0
66,30000,2,2,2,22,0,28387,1686,1
67,240000,2,2,2,44,1,0,0,1
68,360000,2,1,2,26,0,23411,4796,0
69,60000,1,3,2,30,0,26324,1576,1
70,400000,2,2,1,44,0,131595,10700,0
71,50000,2,3,2,49,0,48909,1676,0
72,160000,1,2,2,33,0,130028,4400,0
73,360000,2,1,1,45,-1,390,1170,1
74,160000,2,2,2,32,0,3826,1147,0
75,130000,2,1,1,35,0,81313,40000,0
76,20000,1,3,2,44,2,8583,0,0
77,200000,1,1,1,53,2,138180,6300,1
78,280000,2,1,2,39,-1,7524,0,0
79,160000,2,2,1,37,-1,880,1602,0
80,60000,2,2,2,23,0,45648,1937,0
81,90000,1,2,2,35,0,83725,3621,0
82,360000,1,1,1,43,-1,3967,8339,0
83,150000,1,1,2,27,0,86009,4031,0
84,50000,2,3,1,22,0,18722,1411,0
85,20000,1,2,1,38,0,17973,1699,1
86,480000,1,1,1,63,0,422069,16078,0
87,50000,2,3,2,22,0,44698,1767,1
88,60000,2,2,2,26,2,56685,0,0
89,70000,2,2,2,24,-1,5580,0,0
90,80000,2,2,1,36,-1,6108,2861,0
91,350000,1,1,2,52,-1,713,2272,0
92,130000,1,2,2,38,0,171438,10908,0
93,360000,1,2,1,35,1,-103,0,0
94,330000,2,1,1,31,0,105879,9260,0
95,50000,1,3,1,47,0,13244,2000,0
96,280000,1,2,1,41,2,135673,6500,0
97,100000,2,1,2,24,0,52128,2000,0
98,50000,1,2,2,41,0,19015,1340,0
99,30000,1,1,2,24,-1,18199,0,1
100,240000,1,1,2,28,-1,326,326,0
101,80000,1,2,2,26,2,14029,2000,1
102,400000,1,2,1,34,-1,19660,9677,0
103,240000,2,2,2,38,0,50254,2000,0
104,50000,1,3,2,37,2,46004,1000,1
105,450000,1,1,1,40,1,0,0,1
106,110000,2,1,1,48,1,0,0,0
107,310000,2,2,1,35,2,304991,13019,1
108,20000,1,1,2,27,0,19115,1404,0
109,20000,1,2,2,23,1,0,0,0
110,200000,1,3,2,52,0,110151,3568,0
111,180000,1,1,1,36,0,163736,4655,1
112,50000,1,2,1,51,0,3347,1000,1
113,60000,1,3,1,55,3,60521,2504,0
114,30000,2,1,2,23,1,4000,5645,0
115,240000,1,1,2,41,1,95,2622,0
116,420000,1,2,1,34,0,253454,9744,0
117,330000,1,3,1,46,0,227389,8210,0
118,30000,2,2,2,22,0,28452,2000,0
119,240000,1,2,1,34,0,10674,1500,0
120,150000,1,1,2,27,0,17444,2500,0
121,210000,2,2,1,33,0,7166,1500,0
122,50000,2,3,1,51,-1,752,300,1
123,50000,1,1,2,24,0,50801,2360,0
124,240000,1,1,2,47,1,0,0,1
125,180000,1,2,2,28,-1,1832,0,0
126,50000,1,2,2,23,1,10131,1000,0
127,20000,1,1,2,29,-1,1199,15586,0
128,50000,1,1,2,28,0,4999,1000,0
129,170000,2,2,2,27,0,19269,1661,1
130,200000,1,1,2,34,1,197236,8000,0
131,80000,2,2,1,23,1,9168,1650,0
132,260000,2,1,1,60,1,-1100,0,0
133,140000,1,2,1,32,0,86627,3455,0
134,80000,1,1,2,25,0,42444,30000,0
135,350000,1,1,2,41,1,208,2906,0
136,280000,2,2,1,56,0,208775,8042,0
137,30000,2,3,2,26,0,9014,1700,0
138,140000,1,1,1,34,0,23944,5000,0
139,200000,2,1,2,37,0,105420,4000,0
140,200000,2,3,2,30,0,196031,7300,0
141,210000,1,3,1,45,2,115785,10478,1
142,50000,1,3,1,57,3,12854,0,0
143,30000,1,1,2,41,2,24357,3500,0
144,50000,1,2,2,27,2,390,390,0
145,290000,1,3,1,47,-1,1234,396,0
146,250000,2,1,1,34,0,141223,17994,0
147,60000,2,2,1,46,0,21148,3000,0
148,110000,2,1,2,27,0,101640,5500,0
149,100000,1,2,1,27,-1,102349,3166,0
150,90000,2,2,1,35,0,72112,3500,0
151,50000,2,2,2,22,0,28040,1510,0
152,270000,1,2,2,37,0,37695,5000,0
153,300000,2,1,2,30,-1,688,3288,0
154,50000,2,2,2,22,-1,8567,15000,0
155,50000,2,1,2,24,1,-709,0,1
156,360000,1,1,2,29,1,0,0,0
157,130000,1,3,1,56,1,64617,3000,1
158,50000,1,2,2,30,1,48860,0,0
159,20000,2,2,2,22,0,16001,1212,0
160,80000,2,2,1,29,0,77883,5800,0
161,240000,1,1,2,37,-1,12212,15000,0
162,80000,2,3,2,35,0,49608,12500,0
163,500000,2,1,1,47,0,56422,70010,0
164,60000,2,2,1,24,0,58024,2500,1
165,20000,1,2,2,25,0,10642,1200,0
166,100000,2,2,1,38,1,14483,0,1
167,360000,2,1,2,32,1,2616,57087,0
168,200000,2,3,2,47,2,199436,8214,1
169,130000,2,2,1,34,1,0,5396,0
170,20000,2,2,2,31,1,21703,0,0
171,310000,1,1,2,32,0,59901,10020,0
172,60000,2,1,2,27,2,19625,1342,1
173,180000,2,1,2,29,-1,11386,199,0
174,180000,2,1,2,24,-1,14670,37867,0
175,50000,1,2,1,36,0,47790,2000,0
176,50000,2,1,2,24,1,36166,1900,1
177,20000,2,1,2,22,0,18553,1500,0
178,30000,2,3,2,22,1,29010,1000,1
179,140000,1,1,2,31,0,27123,25000,0
180,140000,2,1,2,26,-1,13424,10000,0
181,120000,1,2,2,26,0,107314,5000,0
182,360000,2,2,1,48,0,226430,9100,0
183,20000,1,3,1,43,-1,227,22359,0
184,100000,1,1,1,47,-1,390,1473,0
185,210000,2,2,1,41,-1,3088,1586,1
186,80000,2,2,2,24,0,81625,3200,1
187,330000,2,1,1,50,-1,8872,4345,0
188,220000,1,1,2,24,0,105607,5000,0
189,210000,2,1,1,38,1,0,0,1
190,40000,2,3,1,43,0,38257,1700,0
191,30000,1,2,2,39,0,28347,3036,0
192,470000,1,2,2,27,2,296573,13000,0
193,30000,1,3,1,42,-1,390,390,0
194,240000,2,2,1,36,1,-946,0,1
195,80000,1,2,2,36,2,79278,3100,0
196,110000,2,3,0,31,0,89989,4000,0
197,310000,2,1,2,38,-1,1424,4542,0
198,360000,2,1,1,40,2,105167,12000,1
199,330000,2,3,2,45,0,335196,12388,0
200,300000,2,2,2,35,0,291619,12019,0
201,320000,2,2,2,33,0,91653,10042,0
202,50000,2,3,2,37,1,52626,0,1
203,170000,2,1,2,28,0,130370,6530,0
204,350000,1,3,1,44,-1,3265,2686,0
205,20000,1,2,1,37,0,16455,1609,0
206,50000,1,2,2,23,2,49758,2401,1
207,20000,2,3,2,24,1,19154,0,0
208,50000,2,1,2,24,0,35084,2090,0
209,20000,1,2,2,23,1,20235,0,1
210,50000,1,2,1,26,0,102800,0,0
211,190000,1,2,2,34,2,129801,5000,1
212,60000,2,2,1,33,0,58203,1506,0
213,80000,1,1,2,35,-1,7988,3983,0
214,150000,2,2,2,27,0,127402,4500,0
215,240000,2,3,1,50,0,234205,10116,1
216,60000,2,1,2,28,1,21501,0,0
217,50000,1,1,2,39,0,47174,1800,0
218,50000,2,2,2,27,0,26655,1800,0
219,180000,2,1,2,32,-1,3139,2821,0
220,30000,2,1,2,40,-1,142,355,0
221,20000,2,2,2,40,0,19816,1601,0
222,250000,2,2,1,75,0,52874,1631,0
223,100000,2,2,2,27,0,37767,1788,0
224,330000,1,1,2,25,0,46140,2504,0
225,50000,1,3,1,46,0,35713,1561,0
226,50000,2,2,2,26,1,50867,1710,0
227,30000,1,2,2,28,0,29242,5006,0
228,140000,2,2,2,26,0,101551,5366,1
229,160000,2,1,2,28,0,70243,7042,0
230,400000,2,2,2,29,-1,19532,3127,0
231,50000,1,2,1,25,0,27699,1565,0
232,140000,2,2,1,48,0,1154,1233,0
233,160000,2,2,1,33,-1,8015,2453,0
234,100000,2,3,1,43,0,62170,0,0
235,220000,1,1,1,48,2,210380,10000,1
236,510000,2,1,2,29,0,78331,40010,0
237,50000,1,2,2,29,0,49276,1602,0
238,160000,2,1,1,38,-1,4473,4664,0
239,80000,2,1,2,37,-1,10115,258,0
240,150000,2,2,1,25,-1,6156,0,0
241,10000,1,3,2,23,0,6974,1134,0
242,130000,2,3,2,49,0,89003,4100,1
243,40000,2,1,2,48,0,34871,1600,0
244,50000,1,2,2,27,3,13694,1700,1
245,100000,1,3,2,32,0,70003,2035,0
246,120000,1,1,1,34,-1,1082,0,0
247,260000,2,1,2,58,1,0,0,1
248,200000,2,2,2,33,0,11253,2000,0
249,70000,2,2,2,36,0,68699,4483,0
250,460000,1,1,1,40,2,171,2728,1
251,50000,2,1,2,26,-1,1156,316,0
252,50000,1,3,1,33,0,50859,2007,0
253,250000,2,2,1,31,0,103109,4000,0
254,30000,2,1,2,27,0,1512,1000,0
255,270000,1,2,1,44,0,127543,10063,0
256,180000,2,3,2,30,0,163935,7722,0
257,100000,2,1,2,28,0,53494,4173,0
258,230000,2,3,1,32,0,195126,5000,0
259,210000,2,1,1,46,-1,110346,41986,0
260,210000,1,1,2,38,2,60502,3276,0
261,440000,2,2,1,46,0,180641,8610,0
262,100000,2,2,2,25,2,70896,3472,1
263,240000,2,2,1,46,0,8751,1295,0
264,280000,1,1,2,33,-1,898,898,1
265,50000,2,2,2,22,1,0,0,1
266,30000,1,2,1,43,3,1700,1100,0
267,10000,1,2,2,27,0,7015,3507,1
268,130000,1,1,2,29,1,0,0,0
269,200000,1,1,2,31,0,194353,9000,0
270,120000,2,2,1,29,-1,1686,657,0
271,210000,2,2,1,36,0,143225,6483,0
272,280000,2,1,1,36,0,58983,2755,0
273,300000,1,1,2,34,1,0,0,1
274,100000,1,2,2,37,0,99209,3490,0
275,50000,2,3,1,40,0,49941,2400,0
276,20000,2,1,2,25,0,11968,2800,1
277,200000,2,1,2,27,-1,871,665,0
278,500000,2,2,1,36,-1,10483,23962,0
279,300000,2,2,1,27,1,0,5215,0
280,30000,1,3,1,55,2,9720,1200,1
281,60000,2,1,2,27,-1,20847,13809,0
282,400000,2,2,1,38,-1,3697,1000,0
283,180000,2,2,1,34,0,143301,7000,0
284,20000,1,1,2,40,0,10934,3000,0
285,200000,2,3,1,49,-1,52439,0,1
286,100000,1,1,2,27,0,55734,1631,0
287,60000,1,2,2,23,0,49507,1970,1
288,110000,2,2,2,36,0,47819,2200,0
289,260000,2,3,1,53,1,0,165,0
290,50000,2,3,1,46,3,48522,3754,0
291,180000,1,2,2,29,1,-2,0,0
292,110000,1,2,2,29,1,58362,2500,1
293,340000,2,1,2,27,0,172180,21105,0
294,50000,1,2,2,24,-1,1399,1070,0
295,230000,2,2,1,28,0,26361,1710,1
296,360000,2,2,2,32,0,93029,10000,0
297,210000,1,2,2,43,1,0,0,0
298,220000,2,2,1,41,-1,650,325,1
299,60000,2,2,1,34,2,24898,3800,1
300,150000,1,1,1,40,2,99855,5200,0
301,200000,2,2,1,37,1,-179,1000,1
302,130000,2,2,2,40,0,9559,3000,1
303,60000,2,1,2,28,1,10540,0,0
304,400000,2,2,1,43,1,0,0,0
305,20000,1,1,2,27,0,20571,1323,0
306,190000,2,1,2,28,0,143464,5795,0
307,260000,2,1,2,30,0,156882,10000,0
308,50000,2,2,1,31,0,46512,1974,1
309,120000,2,1,2,34,-1,882,6900,0
310,50000,1,2,2,36,0,5916,1212,0
311,200000,2,1,2,29,-1,2393,0,0
312,180000,1,1,1,39,0,274731,11000,0
313,180000,2,1,2,26,0,145403,5440,0
314,160000,2,1,2,29,-1,3097,0,0
315,100000,2,2,2,26,-1,1370,4210,0
316,50000,2,2,2,29,0,47081,3000,1
317,140000,2,2,2,31,0,138119,6600,0
318,30000,2,2,2,26,0,17893,1411,1
319,90000,1,1,2,26,0,39128,1541,0
320,200000,1,1,1,36,1,-14386,10118,0
321,380000,1,1,2,30,1,0,0,1
322,80000,2,2,2,43,0,77057,3177,0
323,50000,1,3,1,58,2,15899,3400,0
324,180000,1,2,1,45,-1,27679,1481,1
325,240000,2,2,2,26,0,141315,6349,0
326,380000,1,2,2,34,0,194314,9010,0
327,260000,1,1,1,34,-1,49657,291,0
328,500000,2,2,2,23,4,507726,10000,1
329,320000,2,2,2,30,0,71305,2589,0
330,50000,1,2,2,32,4,45734,0,0
331,110000,1,1,1,40,1,0,0,1
332,330000,2,2,1,56,1,-9,1529,0
333,50000,2,2,1,61,0,47166,3000,0
334,10000,1,2,2,24,-1,2887,0,0
335,300000,1,1,1,40,1,0,0,0
336,20000,2,2,1,32,3,20631,0,1
337,180000,1,2,1,36,2,83538,0,1
338,160000,1,1,2,30,-1,99,2977,0
339,90000,2,1,2,34,0,34302,1640,0
340,180000,1,1,1,46,0,173267,8100,0
341,30000,1,3,1,58,0,19143,1640,0
342,30000,1,2,1,43,1,20518,0,0
343,140000,2,1,2,28,-1,10833,14000,0
344,210000,1,1,2,30,0,69937,3500,0
345,50000,1,2,2,31,0,20526,2000,1
346,130000,2,2,2,29,0,89055,4200,0
347,50000,2,2,1,37,2,1894,1500,1
348,140000,1,3,1,36,0,100594,3000,0
349,170000,2,2,2,28,-1,2948,1105,1
350,80000,1,2,2,25,0,22619,10010,0
351,80000,2,1,2,29,1,0,80000,0
352,80000,1,3,1,73,-1,63144,3500,1
353,150000,1,2,1,43,0,153249,7900,0
354,260000,1,1,1,30,-1,1131,291,1
355,350000,1,1,1,38,1,0,0,0
356,280000,2,2,1,39,1,-1312,38621,1
357,310000,1,2,1,44,0,103797,4400,0
358,140000,2,2,2,29,0,20110,3000,0
359,360000,1,1,1,51,-1,38000,25000,0
360,140000,2,1,2,27,0,142428,10000,0
361,100000,1,1,2,38,0,40810,2502,0
362,210000,2,2,1,30,0,104701,4002,0
363,120000,2,2,2,25,2,120298,4007,0
364,240000,1,1,2,29,0,156362,5233,0
365,150000,1,1,2,41,-1,1464,2091,1
366,30000,1,2,1,48,0,27879,1774,0
367,160000,2,1,2,29,2,160432,7500,1
368,120000,2,2,1,25,0,26476,6000,0
369,500000,1,1,1,37,1,507062,325,0
370,320000,2,1,2,27,0,55607,11404,0
371,280000,1,1,2,31,0,168382,10000,0
372,60000,2,1,2,23,1,29332,0,1
373,200000,2,1,1,38,-1,190,0,0
374,230000,2,1,1,32,1,0,0,0
375,230000,2,2,2,27,1,13668,0,1
376,50000,2,3,1,35,-1,22500,5000,0
377,50000,2,1,2,30,0,14811,2000,0
378,50000,1,2,1,48,0,44338,3629,0
379,260000,2,1,2,36,1,0,0,1
380,30000,1,1,2,24,2,25265,1500,0
381,440000,2,1,2,29,0,169661,8071,0
382,230000,2,2,2,38,-1,10237,2795,0
383,200000,1,2,1,38,2,104978,4500,1
384,490000,2,2,1,30,0,192586,10000,0
385,80000,2,2,1,32,-1,11262,0,0
386,20000,2,3,2,49,2,9551,3000,1
387,170000,2,1,2,31,-1,199,199,1
388,70000,1,1,2,27,0,70119,3600,0
389,210000,2,2,2,33,0,212601,6000,0
390,90000,2,2,2,25,0,91894,3200,0
391,390000,2,1,2,27,0,304867,13007,1
392,110000,2,1,2,29,0,48123,2500,0
393,580000,2,1,1,36,0,159760,6422,0
394,360000,1,3,1,55,0,9210,6015,0
395,270000,2,2,1,32,1,234752,10000,1
396,60000,2,1,2,27,-1,14072,0,0
397,110000,1,3,1,37,0,61807,2300,0
398,50000,2,1,1,25,0,51044,2500,0
399,80000,2,1,2,23,0,77024,3212,1
400,50000,1,2,2,23,-1,350,350,0
401,100000,1,1,2,32,0,83831,4000,0
402,30000,2,1,2,26,1,0,0,0
403,200000,2,1,2,27,0,122923,5704,0
404,240000,1,1,2,44,0,246135,12026,1
405,220000,1,2,2,34,0,37304,1600,0
406,160000,2,1,2,28,0,146433,4500,0
407,180000,2,1,1,53,-1,46122,1260,0
408,140000,2,3,1,30,0,96304,4505,0
409,380000,1,1,1,51,1,0,0,1
410,600000,1,1,1,53,2,467150,0,1
411,260000,1,2,2,37,0,255691,14000,0
412,200000,2,1,2,26,0,156786,179,0
413,80000,1,2,2,42,0,78129,2500,0
414,40000,1,2,2,39,0,40034,2027,0
415,130000,1,3,2,39,1,71034,0,0
416,50000,1,1,2,32,-1,23974,1800,0
417,230000,2,2,1,41,-1,819,18163,0
418,70000,1,2,1,48,0,50927,2100,1
419,180000,2,2,1,38,0,152510,5657,0
420,80000,2,2,1,36,-1,1689,8638,0
421,290000,2,2,2,26,0,20807,80000,0
422,230000,2,1,2,28,0,30141,120093,0
423,230000,1,1,1,59,-1,208459,7536,1
424,220000,1,1,2,38,0,212795,8909,1
425,230000,1,2,2,32,0,28114,1610,0
426,500000,1,2,1,38,0,59372,10026,0
427,90000,2,1,1,41,-1,6160,3276,0
428,390000,2,3,2,35,0,355215,13802,1
429,400000,2,2,2,41,0,366193,14020,0
430,180000,1,2,1,34,-1,2927,2790,0
431,60000,1,3,1,38,1,29295,1800,0
432,120000,2,2,1,32,-1,4158,2682,0
433,60000,2,2,2,29,0,27199,1900,0
434,50000,1,1,2,44,0,50893,1800,0
435,70000,2,2,1,37,0,66759,2518,0
436,500000,2,1,1,38,-1,600,0,0
437,250000,2,2,1,40,0,44930,120041,0
438,140000,1,2,2,26,0,131367,17000,1
439,70000,2,2,2,28,0,41264,2112,0
440,90000,1,3,1,48,1,77604,1700,0
441,100000,2,2,1,43,-1,2491,1709,0
442,190000,1,2,1,31,0,177554,7600,0
443,230000,2,1,1,42,-1,6865,15111,0
444,320000,1,2,1,39,0,93768,3317,0
445,220000,2,2,1,36,-1,396,1648,1
446,260000,2,1,1,34,-1,16426,6277,0
447,30000,2,2,1,43,2,28703,1300,0
448,260000,1,2,2,30,0,98560,4000,0
449,170000,2,2,2,28,0,28304,4000,0
450,80000,2,1,1,28,0,8574,1203,1
451,50000,1,1,1,41,-1,508,1000,0
452,200000,2,3,2,47,0,203183,7521,0
453,20000,1,2,2,23,0,16440,7403,0
454,250000,2,1,1,49,-1,66,0,0
455,20000,1,1,1,38,0,15912,1623,0
456,30000,2,2,1,38,0,20344,2000,0
457,90000,2,2,1,35,1,23132,0,0
458,130000,2,1,1,33,0,19161,2000,1
459,160000,1,1,2,35,-1,396,396,0
460,500000,2,2,2,43,-1,3959,0,0
461,180000,2,2,2,28,0,42238,2500,0
462,80000,2,2,1,30,0,21507,1700,0
463,120000,1,1,2,26,-1,884,0,0
464,130000,1,2,1,31,-1,1261,1261,0
465,120000,2,2,2,35,-1,240,240,1
466,360000,1,1,2,28,-1,20223,53228,0
467,50000,1,2,2,23,2,29509,2000,1
468,20000,2,2,2,23,0,18355,2900,0
469,100000,1,3,1,56,0,94265,2385,0
470,70000,1,3,1,32,0,68739,3060,0
471,50000,1,2,1,47,0,13917,3000,0
472,10000,2,2,2,22,1,10250,0,0
473,290000,2,1,1,34,0,93844,6000,0
474,30000,2,1,1,31,0,16496,1597,0
475,410000,2,2,2,27,1,-58,33049,0
476,360000,1,1,2,28,-1,1210,390,1
477,140000,2,2,1,42,0,111496,6022,1
478,210000,2,1,2,32,0,67374,3200,0
479,220000,2,2,2,27,-1,1692,13250,0
480,20000,1,2,2,27,1,18649,0,0
481,620000,2,2,1,45,2,160837,0,1
482,360000,1,1,2,26,1,-8,0,0
483,20000,2,2,2,21,-1,18763,14410,0
484,50000,1,2,2,23,0,34549,2836,0
485,10000,1,2,2,46,0,4073,2400,1
486,100000,2,3,1,50,2,53849,2050,1
487,60000,1,2,2,25,-1,480,1675,0
488,440000,2,1,2,35,0,330759,13100,0
489,120000,1,2,1,44,0,92007,5417,0
490,50000,2,1,2,52,0,3257,1000,0
491,110000,2,2,1,40,1,92638,600,0
492,200000,2,1,2,38,-1,399,0,0
493,150000,2,1,2,28,1,0,0,0
494,30000,2,2,1,36,2,28778,0,1
495,100000,2,1,2,24,0,30092,1553,0
496,360000,2,1,1,34,-1,12339,10000,0
497,390000,2,1,2,31,0,50620,5000,0
498,220000,2,1,1,41,1,-65,0,1
499,230000,2,1,2,28,-1,2403,7357,0
500,120000,1,1,2,27,0,52437,5024,0
501,100000,1,3,1,52,0,4657,1500,1
502,190000,2,1,2,41,-1,28204,0,1
503,50000,1,1,1,56,0,50715,2500,1
504,240000,2,1,1,42,1,0,6370,0
505,630000,2,2,1,47,0,37850,38187,0
506,110000,2,2,2,32,0,65299,11000,0
507,20000,1,2,2,29,0,17208,2055,0
508,210000,2,3,1,53,0,57192,2800,0
509,270000,1,1,2,34,-1,5780,12006,0
510,60000,2,2,1,42,-1,631,2790,0
511,360000,1,2,2,38,-1,108351,8005,0
512,390000,2,1,2,45,2,834,1,0
513,90000,2,1,2,24,0,13141,1600,1
514,360000,1,1,2,28,-1,7071,1510,0
515,50000,1,3,2,26,0,35429,1537,0
516,270000,2,1,1,40,0,18751,1000,0
517,200000,2,1,2,29,1,55788,8394,0
518,50000,2,2,2,23,0,49809,2040,0
519,350000,1,1,2,33,-1,10900,10530,0
520,80000,2,3,1,49,-1,3367,4641,0
521,290000,1,1,1,53,2,279610,13000,1
522,270000,2,1,2,28,-1,475,475,0
523,80000,1,1,2,31,-1,5994,13647,0
524,50000,1,2,2,36,0,5197,1300,0
525,30000,1,2,2,28,1,0,780,1
526,90000,1,2,2,33,-1,35785,15155,0
527,160000,1,1,2,26,-1,1433,3757,0
528,80000,2,3,2,53,0,77766,4000,0
529,50000,1,2,2,42,0,50300,2200,0
530,20000,2,1,2,25,0,14603,1600,0
531,220000,1,1,1,43,1,0,0,1
532,210000,1,3,2,25,-1,8817,23776,1
533,130000,2,2,2,29,0,131575,6700,0
534,260000,2,2,1,31,-1,5841,23194,0
535,230000,2,1,1,30,0,30341,5000,0
536,160000,1,1,2,34,0,83255,4000,0
537,50000,1,1,1,35,0,34976,1127,0
538,80000,1,2,1,32,0,48747,2145,0
539,110000,1,3,2,46,0,56700,2681,0
540,200000,1,1,1,43,0,144678,5090,0
541,360000,1,2,2,29,0,268112,9429,0
542,210000,2,3,2,31,1,0,0,0
543,80000,2,2,2,24,2,79243,3249,0
544,300000,2,2,1,36,-1,-475,10000,1
545,310000,2,2,1,43,0,23396,1426,0
546,30000,1,3,1,59,-1,390,390,1
547,170000,1,1,1,53,0,17862,1323,0
548,140000,2,2,2,28,2,26450,3007,0
549,180000,2,2,2,31,1,0,0,0
550,50000,1,1,2,34,1,22746,0,0
551,50000,2,2,1,36,0,9214,1351,0
552,110000,2,1,2,24,0,40882,2000,0
553,200000,2,2,1,34,-1,390,390,0
554,220000,1,1,2,43,0,44177,1006,0
555,360000,2,1,2,29,0,3280,0,1
556,50000,1,2,1,37,0,48226,2000,0
557,40000,1,2,2,23,2,36650,0,0
558,190000,2,2,1,37,1,115049,6000,0
559,150000,1,1,2,33,0,21724,2100,0
560,200000,2,1,1,37,1,0,0,0
561,270000,2,2,1,56,0,137807,5000,0
562,60000,1,1,2,25,0,58839,2018,0
563,200000,2,2,1,39,0,80833,3315,0
564,150000,2,2,1,39,0,36146,3000,0
565,180000,2,2,2,28,-1,340,0,0
566,90000,2,1,2,27,0,7624,0,0
567,360000,2,2,1,37,1,0,0,0
568,90000,2,1,2,24,-1,491,0,0
569,20000,2,2,2,24,0,13168,1237,0
570,70000,1,1,1,46,0,60040,2600,0
571,230000,1,1,1,39,-1,660,660,0
572,30000,1,3,1,48,0,29434,1465,0
573,100000,1,3,2,49,-1,1440,0,0
574,50000,2,2,2,23,0,26795,2000,0
575,20000,2,3,1,25,0,16591,1155,0
576,110000,1,3,1,56,0,46486,4086,0
577,20000,2,3,1,44,-1,550,228,0
578,50000,2,3,1,49,0,5630,1107,0
579,50000,1,2,1,41,0,21986,1362,0
580,400000,2,1,2,40,-1,60125,1981,0
581,170000,1,2,2,31,0,56364,3000,0
582,280000,1,2,1,42,0,148363,6900,0
583,130000,2,3,1,28,0,100143,2500,0
584,210000,2,2,2,32,0,46255,5000,0
585,370000,1,2,2,28,0,276436,20000,0
586,30000,2,2,1,31,0,29493,3200,0
587,150000,1,3,2,39,1,214450,5180,0
588,60000,1,3,1,31,2,35369,1027,1
589,80000,2,2,2,24,0,77615,3100,0
590,280000,2,2,1,44,2,186149,0,1
591,20000,2,2,2,46,8,21075,0,0
592,240000,2,2,2,26,0,14348,1000,0
593,20000,2,1,2,22,0,20137,1300,0
594,450000,2,1,1,42,1,-200,0,1
595,10000,1,2,2,33,0,8177,2500,0
596,290000,2,3,2,27,0,13820,2000,0
597,190000,2,1,2,28,0,46923,2500,1
598,80000,2,1,2,23,0,53261,4500,0
599,280000,2,2,2,28,-1,427,0,0
600,90000,1,2,1,40,0,42856,3114,1
601,140000,2,1,2,37,-1,1034,40000,0
602,50000,1,1,2,22,0,5137,1300,0
603,40000,2,2,1,32,0,24114,2000,0
604,130000,2,3,1,43,0,130067,5540,0
605,70000,2,3,1,27,0,61611,3011,0
606,30000,2,2,1,35,0,25078,1500,0
